DATE,COMREPUSQ159N
2005-01-01,15.7244102334155
2005-04-01,12.1428910402429
2005-07-01,10.0505340338639
2005-10-01,13.7152729400618
2006-01-01,12.9145790841723
2006-04-01,15.9199348306761
2006-07-01,13.7944127742732
2006-10-01,12.4374525227278
2007-01-01,12.516025717404
2007-04-01,12.3664108203813
2007-07-01,11.776090119189
2007-10-01,8.4106650161492
2008-01-01,-2.94688241274145
2008-04-01,-5.37479390193386
2008-07-01,-9.45836219043297
2008-10-01,-11.2532617130175
2009-01-01,-9.5433457138742
2009-04-01,-26.9541258417129
2009-07-01,-27.3920211012199
2009-10-01,-30.4009423277307
2010-01-01,-23.2826876776176
2010-04-01,0.567560898226817
2010-07-01,2.64523355432446
2010-10-01,11.6952859542004
2011-01-01,11.8350712569653
2011-04-01,1.95889418582911
2011-07-01,1.48052897943776
2011-10-01,6.50725845459896
2012-01-01,2.67630187830391
2012-04-01,4.03848247488841
2012-07-01,7.55911278510148
2012-10-01,2.81354133038593
2013-01-01,3.9889582043937
2013-04-01,10.2908536148791
2013-07-01,15.3067565887953
2013-10-01,13.0425064262563
2014-01-01,9.93142387628909
2014-04-01,9.31666783185355
2014-07-01,4.55772493368451
2014-10-01,8.24780610899778
2015-01-01,15.1136940752594
2015-04-01,12.2574927710348
2015-07-01,10.0090094532023
2015-10-01,5.80488589856781
2016-01-01,-0.823680716548121
2016-04-01,0.731655706751742
2016-07-01,4.18736172171992
2016-10-01,5.64713039617879
2017-01-01,5.85729633546525
2017-04-01,9.82176761923229
2017-07-01,4.10823367461069
2017-10-01,5.35344653167946
2018-01-01,8.21872732822973
2018-04-01,0.763274539736252
2018-07-01,3.20723035486888
2018-10-01,0.153266044000267
2019-01-01,3.77437978986855
2019-04-01,8.0257730077027
2019-07-01,6.7840101328849
2019-10-01,7.33297441608343
2020-01-01,4.20404200864885
2020-04-01,-2.7592382947806
2020-07-01,0.037493012665826
2020-10-01,4.18384454705364
2021-01-01,3.77594991598459
2021-04-01,9.42172024326672
2021-07-01,15.1650096423144
2021-10-01,15.8466611706512
2022-01-01,12.2851173570985
2022-04-01,8.87820339768977
2022-07-01,2.93485046167683
2022-10-01,-0.828055393461519
2023-01-01,0.465166311492795
2023-04-01,3.07133585169843
2023-07-01,-1.33936141776867
2023-10-01,-8.79258085626701
2024-01-01,-8.92543472536121
